416.270000,6,1.57729,-4.93861,5.43845,-5.19043,7.51563,2.09239
611.350000,13,1.54574,-5.62782,1.22404,-9.42837,1.45831,3.80776
657.900000,15,1.51751,-5.3237,1.51866,-7.04312,1.59509,1.72112
824.960000,17,1.55224,-6.34422,1.17147,-7.04312,1.59509,0.817259
1314.770000,26,1.53488,-5.27915,1.13291,-6.86462,-3.69922,5.08559
1323.510000,30,1.50628,-3.56023,1.47779,-5.94367,4.81312,4.09941
1371.750000,32,1.51436,-2.09748,5.17595,-3.22376,7.88548,2.93428
1889.710000,34,1.57895,-4.09458,1.39305,-7.04312,1.59509,2.95545
1900.270000,36,1.52597,-6.49346,1.21257,-7.04312,1.59509,0.669663
1901.060000,39,1.57798,-6.49346,1.21257,-9.56395,1.9222,3.15143
1909.990000,42,1.5016,-7.99662,1.50744,-9.35014,0.696448,1.57789
1910.050000,44,1.57754,-7.99662,1.50744,-9.36225,-0.586617,2.50001
1992.200000,53,1.59696,-5.03489,0.992739,-5.72154,1.19162,0.714871
2073.780000,64,1.5,-9.07931,1.50557,-10.214,0.123622,1.78811
2219.780000,66,1.50685,-6.99934,0.910318,-9.9213,3.08371,3.64164
2521.780000,68,1.56997,-6.42608,1.02709,-7.53002,1.16803,1.11291
