result_index,erase_time,x,y,tx,ty,r,error_to_accepted
3,260.530000,-5.8964,-4.79404,-18.393,-4.73009,-0.858595,6.55305
0,1170.530000,9.38647,5.39011,-13.3879,-0.173167,0.0847504,15.32
1,1170.530000,9.38647,5.39011,-13.7348,0.914839,0.00462212,15.695
2,1170.530000,9.82157,3.23581,-13.7232,-0.991266,0.0465454,14.4621
3,1170.530000,9.91428,4.63987,-14.167,2.5184,-0.104164,16.5491
4,1170.530000,9.49564,5.41675,-13.872,0.320232,-0.00981655,15.0811
6,1170.530000,9.69157,5.2828,-13.2441,-2.27096,0.0993912,13.7628
7,1170.530000,9.68185,5.57366,-13.767,-0.0689779,0.0071118,15.0592
8,1170.530000,9.68185,5.57366,-13.719,-0.460863,-0.00401181,14.618
9,1170.530000,9.68185,5.57366,-13.8704,-0.0159254,-0.0500531,14.6406
13,1170.530000,12.1698,-1.61828,-13.5533,-0.492163,0.0327067,17.7061
14,1170.530000,8.43874,1.40785,-13.1952,-0.426979,0.0328434,13.9589
15,1170.530000,8.21654,1.3633,-13.4735,2.8812,-0.0512281,15.8904
16,1170.530000,8.58152,1.43606,-14.136,0.608511,-0.0970935,13.5844
17,1170.530000,-2.04106,2.08222,-13.5303,2.16892,-0.0214067,6.2901
19,1170.530000,5.78461,1.54109,-13.5781,-0.939522,0.0375565,10.8541
22,1370.530000,0.965952,4.48119,-13.4308,-4.68175,0.166749,7.03451
18,1410.540000,-7.51827,-0.229703,-13.6161,2.22021,-0.198783,7.79163
22,1410.540000,-11.2391,3.84037,-14.0929,2.15669,0.00744102,6.51504
23,1410.540000,-11.8617,1.52837,-14.9764,-0.731214,-0.192792,6.07912
24,1410.540000,-11.5335,3.4045,-14.3606,1.45502,-0.0407555,6.40166
29,1650.530000,2.80187,4.35833,-13.0068,-2.53833,0.0879568,6.11168
