result_index,generate_time,from_robot,to_robot,x,y,tx,ty,r,match_score,t_error,r_error
0,217.360000,/tb3_0,/tb3_1,9.38647,5.39011,-13.3879,-0.173167,0.0847504,2.41657,0.614315,0.0847504
1,217.550000,/tb3_0,/tb3_1,9.38647,5.39011,-13.7348,0.914839,0.00462212,2.35071,0.987824,0.00462212
2,258.520000,/tb3_0,/tb3_1,9.82157,3.23581,-13.7232,-0.991266,0.0465454,99,0.546436,0.0465454
3,258.520000,/tb3_0,/tb3_1,-5.8964,-4.79404,-18.393,-4.73009,-0.858595,99,14.3941,0.858595
4,258.520000,/tb3_0,/tb3_1,9.91428,4.63987,-14.167,2.5184,-0.104164,99,1.51831,0.104164
5,258.520000,/tb3_0,/tb3_1,9.49564,5.41675,-13.872,0.320232,-0.00981655,99,0.287646,0.00981655
6,258.520000,/tb3_0,/tb3_1,-2.03125,1.30136,-13.5738,0.236284,0.103192,99,1.21835,0.103192
7,258.520000,/tb3_0,/tb3_1,9.69157,5.2828,-13.2441,-2.27096,0.0993912,99,1.34797,0.0993912
8,262.070000,/tb3_0,/tb3_1,9.68185,5.57366,-13.767,-0.0689779,0.0071118,2.27557,0.193152,0.0071118
9,262.130000,/tb3_0,/tb3_1,9.68185,5.57366,-13.719,-0.460863,-0.00401181,2.45466,0.584598,0.00401181
10,262.300000,/tb3_0,/tb3_1,9.68185,5.57366,-13.8704,-0.0159254,-0.0500531,2.1826,0.643766,0.0500531
11,268.460000,/tb3_0,/tb3_1,-1.19224,1.56023,-13.5926,0.186302,0.0572771,99,27.676,0.0572771
12,312.270000,/tb3_0,/tb3_1,-1.3045,2.02435,-13.6552,0.117802,0.00231241,99,27.6601,0.00231241
13,383.710000,/tb3_0,/tb3_1,12.1698,-1.61828,-13.5533,-0.492163,0.0327067,2.27045,0.501859,0.0327067
14,464.280000,/tb3_0,/tb3_1,8.43874,1.40785,-13.1952,-0.426979,0.0328434,2.62806,0.768886,0.0328434
15,479.320000,/tb3_0,/tb3_1,8.21654,1.3633,-13.4735,2.8812,-0.0512281,2.09964,2.52744,0.0512281
16,589.190000,/tb3_0,/tb3_1,8.58152,1.43606,-14.136,0.608511,-0.0970935,2.21441,0.233143,0.0970935
17,676.420000,/tb3_0,/tb3_1,-2.04106,2.08222,-13.5303,2.16892,-0.0214067,2.04698,1.97898,0.0214067
18,789.050000,/tb3_0,/tb3_1,6.26813,0.282667,-13.6161,2.22021,-0.198783,2.06388,1.02677,0.198783
19,982.430000,/tb3_0,/tb3_1,5.78461,1.54109,-13.5781,-0.939522,0.0375565,2.19236,0.807999,0.0375565
20,1168.540000,/tb3_0,/tb3_1,-8.10747,0.796508,-14.4334,-0.201117,-0.129811,99,28.1421,0.129811
21,1168.540000,/tb3_0,/tb3_1,-8.04745,1.15468,-14.2663,0.0567489,-0.0839389,99,28.0945,0.0839389
22,1367.490000,/tb3_0,/tb3_1,0.965952,4.48119,-13.4308,-4.68175,0.166749,99,28.6908,0.166749
23,1367.490000,/tb3_0,/tb3_1,-11.2391,3.84037,-14.0929,2.15669,0.00744102,99,28.1976,0.00744102
24,1367.490000,/tb3_0,/tb3_1,-11.8617,1.52837,-14.9764,-0.731214,-0.192792,99,28.0576,0.192792
25,1367.490000,/tb3_0,/tb3_1,-11.5335,3.4045,-14.3606,1.45502,-0.0407555,99,28.2584,0.0407555
26,1407.750000,/tb3_0,/tb3_1,2.75689,5.1069,-14.3857,-0.892833,-0.0624531,99,1.08361,0.0624531
27,1407.750000,/tb3_0,/tb3_1,2.85788,5.09882,-14.2925,-1.02708,-0.0583466,99,1.20241,0.0583466
28,1647.610000,/tb3_0,/tb3_1,3.17274,4.6266,-13.628,-0.782292,-0.0140805,99,27.5776,0.0140805
29,1647.610000,/tb3_0,/tb3_1,2.80187,4.35833,-13.0068,-2.53833,0.0879568,99,27.5272,0.0879568
30,1647.610000,/tb3_0,/tb3_1,-8.62495,5.09243,-13.3845,1.54517,0.0615315,99,27.6452,0.0615315
31,1647.610000,/tb3_0,/tb3_1,2.84871,4.40972,-13.1154,-1.84674,0.0564784,99,27.4303,0.0564784
32,1647.610000,/tb3_0,/tb3_1,-7.45025,4.12057,-13.5955,0.99069,0.00178454,99,27.6201,0.00178454
33,1647.620000,/tb3_0,/tb3_1,-7.39004,4.09543,-13.6077,1.00107,-0.00346027,99,27.6125,0.00346027
