result_index,erase_time,x,y,tx,ty,r,error_to_accepted
3,328.540000,-6.54338,1.68694,-5.9162,-14.4447,-1.25758,8.62637
7,328.540000,-8.63297,2.80879,-5.58025,-14.5867,-1.14317,8.32614
18,328.540000,4.89085,0.396268,11.2437,-5.2679,-0.691259,7.95237
51,358.530000,-1.09781,-2.0467,3.13952,-3.39088,2.32471,6.93113
56,363.530000,-1.10231,-2.0256,3.40323,-2.6713,2.39515,7.7556
62,368.530000,-1.10739,-2.02172,2.96366,-3.08011,2.26864,6.96492
68,373.530000,-1.12217,-2.00052,3.33636,-1.7337,2.40044,8.50911
74,378.540000,-1.13641,-1.98868,3.15932,-1.22449,2.37917,8.83168
82,388.530000,-1.17674,-1.96635,3.65783,-0.177369,2.55708,10.2161
105,538.530000,-2.02027,4.62251,-5.8238,-4.57512,2.39067,14.5499
108,568.540000,-3.28213,3.06585,-8.27303,-11.8544,-1.45278,10.4652
115,588.530000,-1.68797,-1.19062,-2.84911,-10.0492,-0.699541,7.22674
118,588.530000,-1.57111,-1.34106,-2.48738,-10.4425,-0.791791,6.93266
128,603.530000,-3.29694,3.03542,-7.96634,-11.9644,-1.67296,9.9424
130,603.530000,4.03067,-0.452479,1.10427,-12.8248,-1.22622,7.34297
132,603.530000,3.96259,-0.865411,1.76352,-12.3222,-1.12299,6.13635
150,628.530000,6.46103,-1.21171,-5.65413,-3.67366,-0.817911,10.8508
180,663.530000,-1.78006,3.06439,-10.2379,-8.66073,-1.53741,12.265
190,683.530000,5.61743,2.19044,-1.73198,-7.10574,-0.877418,6.09985
205,743.530000,-3.44019,0.868429,0.00499301,8.85338,2.34141,10.8023
206,753.530000,-3.48432,0.625805,-0.557237,8.95926,2.27079,11.078
207,758.530000,-3.51234,0.402013,-1.06369,9.08426,2.20505,11.3741
208,763.530000,-10.1309,4.22529,15.2771,-6.12229,0.261854,8.26577
209,763.530000,-10.1309,4.22529,-9.0926,-6.63297,-2.97783,11.3439
210,768.540000,-10.1565,3.25621,-10.5335,-15.1366,-1.72357,8.29471
214,778.530000,-10.4745,4.48279,-2.15297,-15.4012,-1.21715,6.5242
216,838.530000,-13.0152,2.81269,10.8837,-17.5982,-0.858753,11.9736
217,848.530000,-13.028,0.0105834,10.5001,-18.1338,-0.799573,11.8929
226,973.540000,-0.525689,-0.549842,-2.51036,-9.06633,-0.791301,6.63022
229,973.540000,-0.374393,-0.662198,-2.71261,-9.05233,-1.03967,6.83643
231,1033.530000,-1.72793,-0.864413,-3.79811,0.049976,-1.71749,11.4257
237,1098.530000,-8.0382,1.62844,-11.8553,-15.415,-1.35365,12.7115
239,1098.530000,-8.0382,1.62844,-5.80084,-14.9312,-1.07901,9.3951
242,1098.530000,-8.0382,1.62844,-3.46429,-14.4476,-0.938277,8.38456
267,1178.530000,-9.72216,1.85236,-0.713317,2.85701,2.39996,8.65115
268,1178.530000,-9.72216,1.85236,0.140733,13.1378,2.5596,11.008
299,1268.530000,-4.53286,1.86007,10.0045,-3.35888,-0.523622,6.45871
303,1273.530000,-4.5206,1.86338,10.1124,-2.70553,-0.508323,6.8957
304,1278.530000,-4.5206,1.86338,-6.97979,-12.3157,-1.2414,9.50903
305,1278.530000,-4.5206,1.86338,-12.4514,-10.9177,-1.68396,12.4779
309,1283.530000,-4.52812,1.8637,-5.34169,-12.4012,-1.14292,8.50009
310,1283.530000,-4.52812,1.8637,-5.38571,-12.3315,-1.12084,8.60549
321,1373.530000,-4.42742,2.39563,-8.63327,-7.02918,-1.53095,8.8772
326,1408.530000,-4.42782,2.38358,-7.82548,-8.09229,-1.42392,8.54033
