result_index,erase_time,x,y,tx,ty,r,error_to_accepted
12,228.530000,13.0713,2.40427,-11.0228,6.49692,0.108987,7.1071
17,228.540000,13.0194,2.47499,-10.5453,4.38486,0.251364,6.71087
18,228.540000,13.0194,2.47499,-10.3142,3.01193,0.332178,6.23124
19,228.540000,-8.23052,3.333,-8.46666,-9.9964,0.0591857,10.3928
25,228.540000,-7.50554,3.80827,-9.26178,-8.66605,0.120265,9.23777
28,228.540000,-8.47205,4.83352,-11.0423,-4.70358,0.327087,6.53562
32,243.530000,-11.3605,-3.56295,-20.0056,-5.91832,-0.68924,7.92802
33,243.540000,8.68951,2.01373,-3.1649,12.9119,-3.03615,10.0473
36,248.530000,8.6892,2.01512,-3.9318,12.26,-2.96584,9.59008
37,248.530000,8.6892,2.01512,-2.39842,9.50099,-2.95117,6.6454
38,253.530000,8.68921,2.01678,-2.43542,9.4795,-2.94832,6.64522
39,258.530000,8.6924,2.0138,-3.14973,12.8921,-3.03918,10.0505
40,258.530000,8.6924,2.0138,-2.50839,9.41872,-2.93763,6.61427
41,263.530000,8.67827,2.01041,-2.50478,8.09521,-2.97668,6.32401
44,358.530000,8.63435,1.90818,-2.5361,7.65557,-2.991,6.30833
47,393.530000,9.90566,3.89686,-11.7896,-7.03968,0.117183,6.80115
72,498.530000,-1.88251,2.41733,-11.3088,-6.5653,0.128817,6.52155
73,503.540000,-2.21883,3.61373,-8.05106,-5.82871,0.278851,7.52721
81,533.530000,-1.04291,5.62814,-6.95408,-11.2342,0.112428,12.5388
82,533.530000,1.44741,5.53792,-5.77703,-9.75042,0.551297,10.7804
83,533.530000,11.8763,-2.21408,-10.6691,6.10174,0.124391,7.02543
84,533.530000,11.8763,-2.21408,-10.3231,6.54856,0.124302,7.56658
92,543.530000,11.874,-2.22583,0.398471,22.1621,-0.670323,17.0772
93,543.530000,11.874,-2.22583,11.0835,4.00455,-3.09608,6.89571
97,558.530000,-2.39323,2.25944,-10.3947,-8.73323,0.0175776,8.67673
108,568.540000,-1.0751,4.36074,-4.25988,-7.164,0.577736,10.7226
110,573.530000,-4.02334,1.98782,-13.3853,4.61887,-0.291513,6.52773
114,573.530000,-1.24629,4.31109,-3.91625,-7.59156,0.538971,11.334
128,583.530000,-4.07561,1.88235,-13.5685,4.3142,-0.31674,6.31818
132,583.530000,-1.19891,4.32625,-3.74299,-7.58876,0.551046,11.4325
136,593.530000,-1.50817,4.22396,-3.55666,-8.10091,0.48032,12.041
141,608.530000,4.2395,1.47319,-12.3277,2.97511,2.06373,7.87693
142,613.530000,12.5449,0.0135392,-11.0544,4.29132,0.206536,6.08641
179,658.530000,-1.2487,2.87586,-11.3917,7.92351,-0.0147155,8.69379
