result_index,erase_time,x,y,tx,ty,r,error_to_accepted
0,298.530000,8.1072,-3.60461,2.09386,-8.62583,-0.895336,13.5047
2,298.530000,0.977302,-2.85175,-5.76801,-3.18465,-0.280415,6.43348
6,298.530000,-5.59862,0.987584,11.0436,-2.23227,2.86955,27.8106
7,298.530000,5.49426,-1.31425,-3.64853,-5.14147,-0.211166,6.88928
18,318.530000,0.612962,-1.2887,7.46159,-2.1582,2.42297,13.8378
19,318.530000,0.636114,-1.27743,7.43225,-2.19349,2.40493,13.7894
20,318.530000,0.615212,-1.28762,7.45041,-2.18016,2.42123,13.8281
21,318.530000,0.61288,-1.28874,7.45813,-2.16916,2.42304,13.8364
22,318.530000,0.647064,-1.27192,7.03542,-2.66373,2.39634,13.478
25,373.530000,-0.779882,-1.06689,8.9582,0.115217,2.32795,17.1073
29,393.530000,1.73575,-0.483479,0.221471,3.78256,1.70812,6.40724
65,523.530000,11.8979,-2.21597,-3.73702,1.33021,0.827475,15.798
67,533.530000,11.8763,-2.21408,-7.88663,-1.52192,0.810209,12.2342
69,543.530000,11.874,-2.22583,-0.506927,11.6651,-1.52477,7.59621
71,543.530000,11.874,-2.22583,-7.53502,9.3536,-0.904436,6.58819
96,603.530000,11.9413,-1.64158,-6.72018,-3.7483,0.936137,11.2136
97,603.530000,11.9413,-1.64158,2.61572,18.1962,-0.279404,22.6299
98,603.530000,11.9413,-1.64158,1.89788,12.2356,0.145754,21.948
108,623.540000,11.3134,1.21393,-1.39401,-4.64463,-0.485503,7.38895
144,658.530000,12.7569,0.914934,13.1023,-16.566,2.62613,6.87996
153,688.540000,2.6495,3.6264,-6.83754,-3.00927,-1.24409,8.34969
163,698.530000,2.11055,-2.04545,-3.66011,-5.34811,0.217101,7.98502
164,698.530000,1.71022,-2.39028,-4.90534,-8.67311,0.397115,10.7554
180,713.530000,4.73771,1.90791,-2.25323,-3.15288,-0.840196,7.19398
236,768.540000,3.48686,-0.565497,-4.66831,-2.94196,-0.892864,6.19403
249,778.540000,3.37459,-0.981519,-4.45768,-3.74627,-0.774538,6.79912
263,783.540000,3.45224,-1.06434,-8.46884,-3.30074,-0.80146,7.15701
285,848.530000,3.2476,-1.68934,-5.13068,-4.07357,-0.569092,6.79821
290,868.530000,3.28184,-1.47051,-5.09422,-3.75191,-0.640986,6.56307
291,868.530000,3.29656,-1.4372,-5.12842,-3.70125,-0.651112,6.52161
292,868.530000,3.34003,-1.33308,-5.00711,-3.80783,-0.682489,6.6772
293,868.530000,3.38551,-1.21294,-4.91162,-3.91051,-0.718213,6.83638
294,868.530000,3.37402,-1.24453,-5.25749,-3.21755,-0.708866,6.11125
299,868.530000,3.49394,-0.851609,-5.09614,-3.18662,-0.823161,6.28751
307,888.530000,3.80961,-0.515096,0.448826,7.86647,-0.953873,6.80164
330,943.530000,4.6695,5.8919,8.62984,-1.435,2.41728,6.96831
331,943.530000,4.6695,5.8919,8.58611,-1.24118,2.45443,7.04679
332,943.530000,4.6695,5.8919,8.25611,-1.12718,2.45202,6.96255
333,943.530000,4.6695,5.8919,8.2106,-0.700128,2.54,7.15437
344,1058.540000,0.714516,3.15622,2.71525,-6.82019,-0.719969,12.6232
345,1073.540000,0.447381,-0.0573064,2.40626,-8.20334,-0.932763,13.5897
