result_index,erase_time,x,y,tx,ty,r,error_to_accepted
0,814.500000,-7.48366,5.08027,-9.19477,13.1869,0.348953,9.61775
1,814.500000,-9.04634,4.09764,-12.3309,-4.14841,0.155665,7.03068
2,814.500000,-9.3104,3.45592,-11.3705,-6.84724,0.0857775,9.30323
8,814.500000,10.64,2.40441,-11.5004,-8.79052,0.30118,6.33109
23,814.500000,-8.58636,1.54576,-12.0894,-6.48654,0.00686259,8.10302
9,919.500000,11.4146,3.27394,-13.3175,-8.87433,0.528035,14.1642
25,919.500000,8.50967,1.42208,-13.2319,-1.00898,0.134045,9.13369
26,919.500000,8.50967,1.42208,-14.8391,0.741312,-0.0752663,9.20754
27,919.500000,8.50967,1.42208,-15.298,0.0854286,0.00208893,9.27889
36,919.500000,4.14761,4.46961,-13.3375,-0.959373,0.0884324,7.03614
41,919.500000,2.86844,4.64754,-13.165,-1.59157,0.118419,6.9704
42,919.500000,2.62306,4.67577,-13.4362,-0.593448,0.0564583,6.00805
46,919.500000,0.724458,4.45679,-12.9741,-1.95898,0.15468,6.40955
47,919.500000,1.03035,4.41301,-13.2115,-1.86106,0.138348,6.43661
62,1024.500000,2.63839,3.06254,-12.5509,-2.27768,0.281435,7.4347
63,1024.500000,2.63839,3.06254,-13.8525,-0.474513,0.021442,6.19165
64,1024.500000,2.63839,3.06254,-13.7073,-0.834598,0.0421369,6.49624
65,1024.500000,2.63839,3.06254,-13.7069,-1.15924,0.0364243,6.83469
67,1034.500000,2.74344,3.23288,-13.4422,-2.62166,0.0687699,8.23878
68,1034.500000,2.74344,3.23288,-14.3712,-1.25843,-0.152603,7.51171
69,1034.500000,2.74344,3.23288,-14.1938,-1.667,-0.129387,7.84542
70,1034.500000,2.74344,3.23288,-14.4679,-1.3858,-0.174903,7.71189
71,1044.500000,2.73234,3.31296,-13.4267,-0.91808,-0.0562647,6.87884
72,1099.500000,2.79536,2.76017,-13.3782,-1.00424,0.159514,6.50643
73,1099.500000,2.79536,2.76017,-13.899,-0.556696,-0.00462366,6.48267
74,1099.500000,2.79536,2.76017,-13.3102,-2.00123,0.0809073,7.68714
75,1099.500000,2.79536,2.76017,-13.6162,-1.57322,0.0301696,7.39508
66,1114.500000,2.61722,3.26267,-12.712,5.70292,0.0194816,6.40226
78,1134.500000,2.62102,3.16245,-13.9679,4.59769,-0.207445,6.77529
87,1229.500000,6.87765,1.508,-13.5251,4.23593,0.0221842,7.61956
89,1229.500000,6.87765,1.508,-13.1374,6.03277,-0.226691,7.74499
91,1239.500000,6.52904,1.51443,-12.8016,4.38792,0.0477895,7.96856
92,1249.500000,4.12527,2.10295,-12.7984,3.83215,0.154004,7.41034
125,1579.500000,8.73086,2.72614,-13.5371,3.15501,-0.00928551,6.50906
126,1579.500000,8.73086,2.72614,-13.4124,4.6028,-0.0680465,7.45805
127,1579.500000,8.73086,2.72614,-13.3267,4.71718,-0.0594852,7.6545
128,1579.500000,8.73086,2.72614,-13.2786,4.41553,-0.0279843,7.62877
129,1579.500000,8.73086,2.72614,-13.1656,4.73361,-0.0291876,7.94718
130,1579.500000,8.73086,2.72614,-12.5294,0.570193,0.292672,6.39763
132,1619.500000,9.50915,5.34173,-12.9217,7.65417,-0.139998,9.89858
133,1719.500000,8.89977,1.92393,-13.82,3.83737,0.0519109,7.72816
140,1804.500000,8.44964,1.62927,-12.6475,3.66949,0.169398,8.51929
144,1809.500000,8.44964,1.62927,-12.957,1.98491,0.132723,6.5277
145,1809.500000,8.44964,1.62927,-12.941,1.21266,0.209618,6.34931
146,1809.500000,8.44964,1.62927,-13.1704,2.78678,0.129909,7.27846
157,1979.500000,-3.47988,-0.405374,-18.2381,2.76203,-1.2546,8.65858
164,2039.500000,9.22679,1.31265,-12.7012,14.413,-0.749743,11.2355
168,2049.500000,10.2821,1.84958,-12.9168,1.48704,0.130614,6.44667
169,2069.500000,-2.14594,1.27894,-13.5323,3.94398,-0.120515,6.47455
